
       60         0.219532        -0.962280     0.334560E-05     0.309805E-03     0.141121E-02     0.327162E-04
       61         2.433019        -0.581956    -0.862556E-07     0.294497E-01     0.121041E-01    -0.916121E-06
       62         0.820847        -0.858961     0.726212E-06     0.124720E-02     0.151938E-02     0.836218E-05
       63         0.765228        -0.868518     0.203360E-05     0.138377E-02     0.180831E-02     0.134514E-04
       64         0.915539        -0.842691     0.149021E-05     0.971782E-02     0.106143E-01     0.115106E-04
       65         3.325067        -0.428683     0.235758E-05    -0.480290E-01    -0.144447E-01     0.415080E-04
       66         0.760329        -0.869359     0.201555E-05    -0.204643E-02    -0.269151E-02     0.279247E-04
       67         2.135647        -0.633050    -0.322389E-06     0.539644E-01     0.252683E-01    -0.596664E-05
       68         3.061978        -0.473887     0.644613E-06     0.638688E-01     0.208586E-01     0.470650E-05
       69         0.843870        -0.855005     0.421794E-06    -0.182584E-02    -0.216367E-02     0.527865E-05
       70         1.532503        -0.736683     0.671604E-06     0.303253E-01     0.197880E-01     0.742163E-05
       71         2.710388        -0.534298    -0.591653E-06    -0.401878E-02    -0.148289E-02    -0.144382E-04
       72         1.360460        -0.766244    -0.452255E-06     0.126073E-01     0.926687E-02    -0.386691E-05
       73         1.263583        -0.782890     0.212950E-06     0.191587E-01     0.151621E-01    -0.201551E-05
       74         2.361143        -0.594305     0.618775E-06     0.564720E-01     0.239172E-01     0.548238E-05
       75         2.059406        -0.646150     0.104677E-05     0.349968E-02     0.169931E-02     0.104922E-04
