
       6.969187       0.197455  -0.673165E-06  -0.632905E-01  -0.908179E-02  -0.136017E-04
      27.177887       3.669740  -0.638370E-07  -0.282749E+01  -0.104037E+00  -0.152422E-05
       0.792132      -0.863895   0.597955E-05   0.102852E-01   0.129841E-01   0.365174E-03
       0.157503      -0.972938  -0.646960E-05   0.926820E-03   0.588453E-02  -0.478734E-03
       8.249015       0.417357   0.315877E-05  -0.144988E+00  -0.175773E-01   0.144056E-03
      13.519273       1.322899  -0.324077E-06  -0.583538E+00  -0.431639E-01  -0.566003E-05
       0.576788      -0.900895  -0.581121E-06   0.116509E-01   0.201995E-01  -0.361074E-04
       8.115231       0.394370   0.129929E-05   0.562543E-01   0.693143E-02   0.352912E-04
      13.265569       1.279307  -0.112197E-05   0.436028E+00   0.328685E-01  -0.219487E-04
       0.032898      -0.994347  -0.376536E-05   0.479728E-04   0.145837E-02  -0.320133E-03
      25.522953       3.385387  -0.598042E-07  -0.124928E+01  -0.489483E-01  -0.138308E-05
       0.102165      -0.982446   0.243022E-05   0.536617E-03   0.525257E-02   0.136851E-03
       7.567051       0.300181  -0.116004E-05  -0.685083E-01  -0.905421E-02  -0.450058E-04
       5.794647      -0.004356  -0.217953E-05   0.465573E+00   0.803450E-01  -0.674334E-04
       1.389495      -0.761255   0.175954E-05   0.347364E-01   0.249992E-01   0.792568E-04
       6.745146       0.158960   0.253920E-05  -0.230202E+00  -0.341289E-01   0.471130E-04
       3.671615      -0.369138  -0.468542E-05   0.193902E+00   0.528108E-01  -0.186676E-03
      11.662828       1.003922   0.521734E-06   0.869447E+00   0.745474E-01   0.191863E-04
       3.772526      -0.351800   0.181764E-05   0.171608E+00   0.454885E-01   0.815017E-04
      16.652329       1.861225   0.223746E-06   0.249390E+01   0.149763E+00   0.901528E-06
       9.638443       0.656090   0.736030E-06  -0.614393E+00  -0.637447E-01   0.210608E-04
       0.036640      -0.993704  -0.124201E-05   0.698251E-04   0.190583E-02  -0.138106E-03
      16.998377       1.920683   0.212497E-05  -0.121362E+01  -0.713983E-01   0.114890E-03
       1.810008      -0.689002   0.322262E-05   0.483326E-01   0.267028E-01   0.124949E-03
       0.305537      -0.947502  -0.148256E-05   0.467780E-02   0.153101E-01  -0.570390E-04
       2.164461      -0.628099   0.544573E-06   0.319800E-01   0.147749E-01   0.241697E-04
       0.545308      -0.906304  -0.142877E-05   0.120172E-01   0.220374E-01  -0.571717E-04
       6.287248       0.080283   0.344759E-06   0.149578E+00   0.237901E-01   0.127284E-04
      11.954554       1.054047   0.124978E-05   0.653427E+00   0.546586E-01   0.291297E-04
       0.336665      -0.942154  -0.142986E-05   0.587405E-02   0.174477E-01  -0.590701E-04
       0.508904      -0.912559  -0.154198E-05   0.108775E-01   0.213742E-01  -0.680607E-04
       9.364744       0.609062  -0.457621E-06   0.156765E+00   0.167393E-01  -0.142554E-04
       1.583415      -0.727936   0.226394E-05   0.300708E-01   0.189910E-01   0.110611E-03
       1.818604      -0.687525   0.323797E-05   0.167397E-01   0.920457E-02   0.117447E-03
      14.221338       1.443529   0.100555E-05   0.111124E+01   0.781381E-01   0.169797E-04
       0.075531      -0.987022  -0.416713E-07   0.380109E-03   0.503244E-02   0.135899E-05
       0.267888      -0.953971   0.141774E-05   0.246165E-02   0.918905E-02   0.397014E-04
       1.548319      -0.733966   0.193424E-05   0.417300E-01   0.269516E-01   0.125491E-03
       0.525220      -0.909756   0.362841E-05   0.362494E-02   0.690179E-02   0.256498E-03
       6.861753       0.178995   0.187535E-06  -0.275480E+00  -0.401474E-01   0.305023E-05
      29.528151       4.073565  -0.395685E-06   0.130083E+01   0.440516E-01  -0.108296E-04
       8.268509       0.420706   0.243388E-06   0.232641E+00   0.281357E-01   0.155621E-05
       0.526878      -0.909471  -0.837703E-05   0.812714E-02   0.154252E-01  -0.560673E-03
      16.365482       1.811938  -0.576631E-06   0.229893E+00   0.140466E-01  -0.984051E-05
      14.221900       1.443625   0.564931E-06   0.138441E+01   0.973430E-01   0.783840E-05
       9.954860       0.710457  -0.425843E-06  -0.135206E+00  -0.135823E-01  -0.103329E-04
       8.317462       0.429117   0.101167E-05   0.618063E+00   0.743082E-01   0.416974E-04
       7.520825       0.292238  -0.237212E-05   0.274348E+00   0.364777E-01  -0.956373E-04
      19.341508       2.323283   0.617478E-06   0.980499E+00   0.506934E-01   0.770372E-05
       4.352083      -0.252219   0.141123E-05   0.137015E+00   0.314821E-01   0.589841E-04
       0.085342      -0.985336   0.572737E-05   0.279364E-03   0.327357E-02   0.397202E-03
      17.020084       1.924413   0.159883E-05  -0.214348E+01  -0.125940E+00   0.876588E-04
      14.066329       1.416895  -0.676878E-06   0.330200E+00   0.234733E-01  -0.234793E-04
       0.310761      -0.946605  -0.995495E-06   0.219266E-02   0.705573E-02  -0.475605E-04
      17.899922       2.075588   0.377360E-06   0.501179E-02   0.279166E-03   0.435808E-05
      27.190583       3.671921  -0.852212E-07  -0.948296E+01  -0.348760E+00  -0.339192E-05
      19.158541       2.291845  -0.563363E-06   0.103790E+01   0.541731E-01  -0.185955E-04
       2.016950      -0.653445   0.230427E-05   0.145842E-01   0.723053E-02   0.161344E-03
      19.565677       2.361800   0.804439E-06  -0.175613E+01  -0.897570E-01   0.198283E-04
       8.294518       0.425175   0.981215E-06  -0.329593E+00  -0.397368E-01   0.313788E-04
       0.255541      -0.956093   0.178208E-05   0.174302E-02   0.682086E-02   0.108432E-03
       3.158427      -0.457315  -0.206383E-07   0.656550E-02   0.207848E-02  -0.858910E-05
